iter,E_plus,E_minus,E_curr,best_E
0,-1.7268950475472131,-1.7274220877227762,-1.727719059811052,-1.7310646269702894
1,-1.7233273847913606,-1.7409164787851017,-1.7321321239486858,-1.7321321239486858
2,-1.7258621971770778,-1.725424937182469,-1.7343351106194818,-1.7343351106194818
3,-1.7181517993500885,-1.7459921860959309,-1.742548137780806,-1.742548137780806
4,-1.7362121278449654,-1.731105331823683,-1.7406148316665968,-1.742548137780806
5,-1.7420608416917973,-1.734621564241951,-1.7415983045813739,-1.742548137780806
6,-1.740423223425859,-1.7149028793669199,-1.7420127724587091,-1.742548137780806
7,-1.7299333127380154,-1.7265631021192565,-1.7417760490667658,-1.742548137780806
8,-1.7373915713047015,-1.7297718923571495,-1.7451311046835176,-1.7451311046835176
9,-1.7407665985266971,-1.731392086917322,-1.743448759478813,-1.7451311046835176
10,-1.7217266851147475,-1.7392407112967665,-1.7422395151526509,-1.7451311046835176
11,-1.7386371623865726,-1.7290323884905217,-1.7411327230144877,-1.7451311046835176
12,-1.7458007986317787,-1.7251324508092842,-1.7402589403101365,-1.7451311046835176
13,-1.7271137939812435,-1.7384716986624935,-1.7357579853078884,-1.7451311046835176
14,-1.7334524185214102,-1.7381880837647814,-1.7383364393955232,-1.7451311046835176
15,-1.7231987564785791,-1.7343414948206144,-1.7424514308500314,-1.7451311046835176
16,-1.7399538580764122,-1.743800532268173,-1.743166644005562,-1.7451311046835176
17,-1.730118954165266,-1.7386467897775768,-1.7378177486765338,-1.7451311046835176
18,-1.7418171967442748,-1.7309733545255848,-1.7409784059647775,-1.7451311046835176
19,-1.736138838935904,-1.7266516938120153,-1.7421330124129504,-1.7451311046835176
